round,agent,price,marketing,market_share,customers,revenue,profit,rationale
0,A,2.6,0.0,0.06073954759690741,60.73954759690741,157.92282375195927,36.44372855814446,fixed cost-plus markup
0,B,2.6,0.0,0.06073954759690741,60.73954759690741,157.92282375195927,36.44372855814446,fixed cost-plus markup
0,C,2.6,0.0,0.06073954759690741,60.73954759690741,157.92282375195927,36.44372855814446,fixed cost-plus markup
1,A,2.6,0.0,0.06073954759690741,60.73954759690741,157.92282375195927,36.44372855814446,fixed cost-plus markup
1,B,2.6,0.0,0.06073954759690741,60.73954759690741,157.92282375195927,36.44372855814446,fixed cost-plus markup
1,C,2.6,0.0,0.06073954759690741,60.73954759690741,157.92282375195927,36.44372855814446,fixed cost-plus markup
2,A,2.6,0.0,0.06073954759690741,60.73954759690741,157.92282375195927,36.44372855814446,fixed cost-plus markup
2,B,2.6,0.0,0.06073954759690741,60.73954759690741,157.92282375195927,36.44372855814446,fixed cost-plus markup
2,C,2.6,0.0,0.06073954759690741,60.73954759690741,157.92282375195927,36.44372855814446,fixed cost-plus markup
3,A,2.6,0.0,0.06073954759690741,60.73954759690741,157.92282375195927,36.44372855814446,fixed cost-plus markup
3,B,2.6,0.0,0.06073954759690741,60.73954759690741,157.92282375195927,36.44372855814446,fixed cost-plus markup
3,C,2.6,0.0,0.06073954759690741,60.73954759690741,157.92282375195927,36.44372855814446,fixed cost-plus markup
4,A,2.6,0.0,0.06073954759690741,60.73954759690741,157.92282375195927,36.44372855814446,fixed cost-plus markup
4,B,2.6,0.0,0.06073954759690741,60.73954759690741,157.92282375195927,36.44372855814446,fixed cost-plus markup
4,C,2.6,0.0,0.06073954759690741,60.73954759690741,157.92282375195927,36.44372855814446,fixed cost-plus markup
5,A,2.6,0.0,0.06073954759690741,60.73954759690741,157.92282375195927,36.44372855814446,fixed cost-plus markup
5,B,2.6,0.0,0.06073954759690741,60.73954759690741,157.92282375195927,36.44372855814446,fixed cost-plus markup
5,C,2.6,0.0,0.06073954759690741,60.73954759690741,157.92282375195927,36.44372855814446,fixed cost-plus markup
6,A,2.6,0.0,0.06073954759690741,60.73954759690741,157.92282375195927,36.44372855814446,fixed cost-plus markup
6,B,2.6,0.0,0.06073954759690741,60.73954759690741,157.92282375195927,36.44372855814446,fixed cost-plus markup
6,C,2.6,0.0,0.06073954759690741,60.73954759690741,157.92282375195927,36.44372855814446,fixed cost-plus markup
7,A,2.6,0.0,0.06073954759690741,60.73954759690741,157.92282375195927,36.44372855814446,fixed cost-plus markup
7,B,2.6,0.0,0.06073954759690741,60.73954759690741,157.92282375195927,36.44372855814446,fixed cost-plus markup
7,C,2.6,0.0,0.06073954759690741,60.73954759690741,157.92282375195927,36.44372855814446,fixed cost-plus markup
8,A,2.6,0.0,0.06073954759690741,60.73954759690741,157.92282375195927,36.44372855814446,fixed cost-plus markup
8,B,2.6,0.0,0.06073954759690741,60.73954759690741,157.92282375195927,36.44372855814446,fixed cost-plus markup
8,C,2.6,0.0,0.06073954759690741,60.73954759690741,157.92282375195927,36.44372855814446,fixed cost-plus markup
9,A,2.6,0.0,0.06073954759690741,60.73954759690741,157.92282375195927,36.44372855814446,fixed cost-plus markup
9,B,2.6,0.0,0.06073954759690741,60.73954759690741,157.92282375195927,36.44372855814446,fixed cost-plus markup
